split,model,R²_train,R²_test,R²_gap,RMSE_test,MAE_test
max_time_dist,HistGradientBoosting,0.08374708583707513,-0.05527511460527057,0.1390222004423457,0.8157618287168913,0.6577532412362486
max_time_dist,RandomForest,0.07977402064030281,0.016417694192542243,0.06335632644776057,0.7923155299659418,0.6341474160738952
max_time_dist,GradientBoosting,0.0797073464110043,0.015040267816000652,0.06466707859500365,0.7928701223379411,0.630455375608365
max_time_dist,ExtraTrees,0.08045645751793329,0.01650293633103772,0.06395352118689557,0.792281196218216,0.6366006698424264
max_time_dist,Ridge,0.048121409094783574,-0.05462727154709679,0.10274868064188036,0.8204314755811647,0.6280767358351295
max_time_dist,Lasso,0.0,-0.021588631112481993,0.021588631112481993,0.807478263515445,0.6703887065423091
max_time_dist,ElasticNet,0.0,-0.021588631112481993,0.021588631112481993,0.807478263515445,0.6703887065423091
max_time_dist,KNN,-0.12752678760542957,-0.41983341922190354,0.29230663161647397,0.9519442432565888,0.8158847078665905
random,HistGradientBoosting,0.05719677914503929,-0.03117109856209077,0.08836787770713006,0.8311178918827294,0.6572599432363908
random,RandomForest,0.07263373901327719,-0.02398223705952285,0.09661597607280004,0.877370211524553,0.6452870938097055
random,GradientBoosting,0.07229604794312983,-0.02072006636780399,0.09301611431093382,0.8759715473453037,0.6467569053844915
random,ExtraTrees,0.07319072054418119,0.00745478870205607,0.06573593184212512,0.863797261413061,0.6409889124904368
random,Ridge,0.034489335838536195,-0.051826081927821566,0.08631541776635776,0.8892188111689483,0.6547196063055212
random,Lasso,0.0,-0.027086540458435948,0.027086540458435948,0.8786991223791236,0.6604437886006422
random,ElasticNet,0.0,-0.027086540458435948,0.027086540458435948,0.8786991223791236,0.6604437886006422
random,KNN,-0.13862577999896253,-0.14149582850478537,0.002870048505822842,0.9263472956909866,0.6858903079329999
overfit,HistGradientBoosting,0.05668212005774009,0.011656492513702599,0.045025627544037494,0.8133354692663097,0.6497656356089769
overfit,RandomForest,0.0933115676304731,-0.03865210811568365,0.13196367574615675,0.7977668109962309,0.6631221830419626
overfit,GradientBoosting,0.09285802922991993,-0.03928638061432865,0.13214440984424858,0.7980103594944838,0.6629156307049798
overfit,ExtraTrees,0.0939687915974553,-0.04445355379466709,0.1384223453921224,0.799991692650169,0.6648525680322243
overfit,Ridge,0.03567810984584807,0.04451041446651394,-0.008832304620665865,0.7651628746385734,0.6373345081365198
overfit,Lasso,0.0,-0.0026443806969091987,0.0026443806969091987,0.7838164490684866,0.6433361891983624
overfit,ElasticNet,0.0,-0.0026443806969091987,0.0026443806969091987,0.7838164490684866,0.6433361891983624
overfit,KNN,-0.07030052475156112,-0.2572183740181424,0.18691784926658128,0.8777003488435603,0.7036841875276156
