feature,type,importance
curl_stress_curl,gain,0.06616881977642645
fsle_fsle_max,gain,0.053971047928575426
glorys_mlotst_surface,gain,0.03680719886764343
glorys_thetao_surface,gain,0.025652537537354914
glorys_vo_surface,gain,0.048213948644979174
glorys_thetao_surface_grad,gain,0.060762708357883236
BOTSALIN,gain,0.24344956685674082
BOTTEMP,gain,0.12009638296225617
SURFTEMP,gain,0.02515480064268802
SURFSALIN,gain,0.04224390425438072
pace_carbon_phyto_log,gain,0.036354990722116245
pace_carbon_phyto_grad_log,gain,0.09026397104417581
pace_chlor_a_log,gain,0.03368781434205759
pace_chlor_a_grad_log,gain,0.026752792643410146
pace_poc_log,gain,0.03529221281222206
pace_Kd_490,gain,0.022338480736287625
pace_poc_grad_log,gain,0.03278882187080228
curl_stress_curl,permutation,0.0037952991415502123
fsle_fsle_max,permutation,-0.0006506320677403977
glorys_mlotst_surface,permutation,-0.00014290738390628776
glorys_thetao_surface,permutation,3.912151807964337e-05
glorys_vo_surface,permutation,-0.00024928347370732905
glorys_thetao_surface_grad,permutation,0.0026204928827115335
BOTSALIN,permutation,0.021433087724015663
BOTTEMP,permutation,-0.001069500224055353
SURFTEMP,permutation,0.0005845413166506331
SURFSALIN,permutation,0.005549445490868688
pace_carbon_phyto_log,permutation,0.001706301536709931
pace_carbon_phyto_grad_log,permutation,0.006861987620983112
pace_chlor_a_log,permutation,-0.0027577175366895633
pace_chlor_a_grad_log,permutation,-0.0007177564564423089
pace_poc_log,permutation,-0.0018776444936186242
pace_Kd_490,permutation,-6.547090641559894e-05
pace_poc_grad_log,permutation,7.380177751465933e-05
curl_stress_curl,shap,0.012058774223003346
fsle_fsle_max,shap,0.0090909646000583
glorys_mlotst_surface,shap,0.003718687972117957
glorys_thetao_surface,shap,0.00304850946791903
glorys_vo_surface,shap,0.00833936061014069
glorys_thetao_surface_grad,shap,0.011448437261802013
BOTSALIN,shap,0.1029914591248702
BOTTEMP,shap,0.04186214157720807
SURFTEMP,shap,0.0026249815564081545
SURFSALIN,shap,0.01138121378483166
pace_carbon_phyto_log,shap,0.006831443943189457
pace_carbon_phyto_grad_log,shap,0.02483609033428342
pace_chlor_a_log,shap,0.007035275305878793
pace_chlor_a_grad_log,shap,0.003239738733328737
pace_poc_log,shap,0.0055717521944201355
pace_Kd_490,shap,0.0015934693915719337
pace_poc_grad_log,shap,0.003734947326830455
