feature,type,importance
curl_stress_curl,gain,0.05574876991695774
fsle_fsle_max,gain,0.08772842896489691
glorys_mlotst_surface,gain,0.027686487426940232
glorys_thetao_surface,gain,0.0648218499951587
glorys_vo_surface,gain,0.04971822500375538
glorys_thetao_surface_grad,gain,0.09777117502125282
BOTSALIN,gain,0.14203608606596618
BOTTEMP,gain,0.07601084037561232
SURFTEMP,gain,0.07152512649237808
SURFSALIN,gain,0.04495266555827991
pace_carbon_phyto_log,gain,0.053618889483309375
pace_carbon_phyto_grad_log,gain,0.07144774037840387
pace_chlor_a_log,gain,0.022002533950477538
pace_chlor_a_grad_log,gain,0.047075951119875954
pace_poc_log,gain,0.020754855430718235
pace_Kd_490,gain,0.02583650726017975
pace_poc_grad_log,gain,0.041263867555837046
curl_stress_curl,permutation,0.004599561234280747
fsle_fsle_max,permutation,0.007062889757913815
glorys_mlotst_surface,permutation,0.0007199367968315884
glorys_thetao_surface,permutation,0.003914833091065639
glorys_vo_surface,permutation,-0.0017937898047492129
glorys_thetao_surface_grad,permutation,0.00744708688341732
BOTSALIN,permutation,0.02310587589873737
BOTTEMP,permutation,-0.000627786672795283
SURFTEMP,permutation,0.005393027246861293
SURFSALIN,permutation,0.0036195931366271084
pace_carbon_phyto_log,permutation,-0.0021698557654562965
pace_carbon_phyto_grad_log,permutation,0.011113202844911097
pace_chlor_a_log,permutation,0.00015371385851028485
pace_chlor_a_grad_log,permutation,-0.001908405395328483
pace_poc_log,permutation,-0.005027315270798005
pace_Kd_490,permutation,-8.627223344285229e-05
pace_poc_grad_log,permutation,-0.0007122368490303565
curl_stress_curl,shap,0.01936109918683323
fsle_fsle_max,shap,0.017070853946439948
glorys_mlotst_surface,shap,0.011210161270628117
glorys_thetao_surface,shap,0.02654156823737438
glorys_vo_surface,shap,0.02296700760509362
glorys_thetao_surface_grad,shap,0.022069935401528906
BOTSALIN,shap,0.09887684675431505
BOTTEMP,shap,0.020967269046661408
SURFTEMP,shap,0.01730089079948655
SURFSALIN,shap,0.012384508156594521
pace_carbon_phyto_log,shap,0.02576316338415824
pace_carbon_phyto_grad_log,shap,0.04003017094893029
pace_chlor_a_log,shap,0.02167199485184367
pace_chlor_a_grad_log,shap,0.020743910180118903
pace_poc_log,shap,0.01096531743472198
pace_Kd_490,shap,0.006364549315364558
pace_poc_grad_log,shap,0.018998318225196726
