feature,type,importance
curl_stress_curl,permutation,-0.015372886128802587
fsle_fsle_max,permutation,-0.007455849450356977
glorys_mlotst_surface,permutation,0.00016544795535444745
glorys_thetao_surface,permutation,-0.0036083873771273643
glorys_vo_surface,permutation,-0.0032034942989067837
glorys_thetao_surface_grad,permutation,-0.010412041942232508
BOTSALIN,permutation,-0.01842719166830773
BOTTEMP,permutation,0.0004350357025525886
SURFTEMP,permutation,0.0003555469088895036
SURFSALIN,permutation,-0.00393981453489971
pace_carbon_phyto_log,permutation,-0.005908842692286376
pace_carbon_phyto_grad_log,permutation,-0.0021436479332068935
pace_chlor_a_log,permutation,-0.0009583938544786896
pace_chlor_a_grad_log,permutation,-0.0003290334392848093
pace_poc_log,permutation,-0.000467056961976775
pace_Kd_490,permutation,0.00016499483256917635
pace_poc_grad_log,permutation,-0.0011666618231788383
curl_stress_curl,shap,0.029944139376503472
fsle_fsle_max,shap,0.028657655224634426
glorys_mlotst_surface,shap,0.013950393891865503
glorys_thetao_surface,shap,0.030447718381306145
glorys_vo_surface,shap,0.012670379914688196
glorys_thetao_surface_grad,shap,0.018279510534287176
BOTSALIN,shap,0.034825016024175336
BOTTEMP,shap,0.031183966622362426
SURFTEMP,shap,0.01023401193516879
SURFSALIN,shap,0.011373773824930523
pace_carbon_phyto_log,shap,0.016532024348881773
pace_carbon_phyto_grad_log,shap,0.005191244060668653
pace_chlor_a_log,shap,0.00659430608515644
pace_chlor_a_grad_log,shap,0.004569599159244603
pace_poc_log,shap,0.0017199275915353099
pace_Kd_490,shap,0.0029193878991560906
pace_poc_grad_log,shap,0.00627451655984489
