feature,type,importance
curl_stress_curl,permutation,0.0
fsle_fsle_max,permutation,-6.661338147750939e-17
glorys_mlotst_surface,permutation,-0.016856660133151548
glorys_thetao_surface,permutation,-0.08168981275308403
glorys_vo_surface,permutation,-2.2204460492503132e-17
glorys_thetao_surface_grad,permutation,-0.018149325869148792
BOTSALIN,permutation,0.0027804870714585707
BOTTEMP,permutation,-0.057811730117328805
SURFTEMP,permutation,-0.04001512010033381
SURFSALIN,permutation,-0.0686663142866901
pace_carbon_phyto_log,permutation,-0.042723166631689756
pace_carbon_phyto_grad_log,permutation,-0.00758329928524557
pace_chlor_a_log,permutation,-0.0271657710124096
pace_chlor_a_grad_log,permutation,-0.03986229739359135
pace_poc_log,permutation,-0.014975382161892425
pace_Kd_490,permutation,-1.1102230246251565e-16
pace_poc_grad_log,permutation,-0.04027305060466104
curl_stress_curl,shap,0.0005428691015464019
fsle_fsle_max,shap,0.0003975371601351374
glorys_mlotst_surface,shap,0.1865382007756158
glorys_thetao_surface,shap,0.10080509752519048
glorys_vo_surface,shap,0.000881242244178425
glorys_thetao_surface_grad,shap,0.0015283179551156276
BOTSALIN,shap,0.051671739634630794
BOTTEMP,shap,0.12391410638963919
SURFTEMP,shap,0.02571623919992703
SURFSALIN,shap,0.022737112268716643
pace_carbon_phyto_log,shap,0.007035593601416621
pace_carbon_phyto_grad_log,shap,0.004520222669673967
pace_chlor_a_log,shap,0.006085164294376969
pace_chlor_a_grad_log,shap,0.013160574763734941
pace_poc_log,shap,0.001959794173949591
pace_Kd_490,shap,0.0004199820864221632
pace_poc_grad_log,shap,0.010678492041537646
