feature,type,importance
curl_stress_curl,gain,0.04503330188373668
fsle_fsle_max,gain,0.06807500296358181
glorys_mlotst_surface,gain,0.04093329892390703
glorys_thetao_surface,gain,0.02490234109516113
glorys_vo_surface,gain,0.06336414748699445
glorys_thetao_surface_grad,gain,0.09600284651512926
BOTSALIN,gain,0.19125087026503426
BOTTEMP,gain,0.14858988567798598
SURFTEMP,gain,0.0351972041324553
SURFSALIN,gain,0.06684925598564888
pace_carbon_phyto_log,gain,0.04466656368872062
pace_carbon_phyto_grad_log,gain,0.05330109992068614
pace_chlor_a_log,gain,0.0261874843520248
pace_chlor_a_grad_log,gain,0.019971738985796877
pace_poc_log,gain,0.022040304490920034
pace_Kd_490,gain,0.019058009410496145
pace_poc_grad_log,gain,0.034576644221720645
curl_stress_curl,permutation,-0.0009356986533134215
fsle_fsle_max,permutation,-0.0006775359421340776
glorys_mlotst_surface,permutation,-0.00017815835677825742
glorys_thetao_surface,permutation,-0.0010144194030329069
glorys_vo_surface,permutation,-0.0015198047003032733
glorys_thetao_surface_grad,permutation,0.004794630859545579
BOTSALIN,permutation,0.027491431861380967
BOTTEMP,permutation,-0.0003205569624746607
SURFTEMP,permutation,0.0009562904897391644
SURFSALIN,permutation,0.003987110728941745
pace_carbon_phyto_log,permutation,0.0033440263994894194
pace_carbon_phyto_grad_log,permutation,0.01076196101446919
pace_chlor_a_log,permutation,-0.002441443161131296
pace_chlor_a_grad_log,permutation,0.0008912613329170593
pace_poc_log,permutation,-0.0044597021258865445
pace_Kd_490,permutation,0.001547926308163572
pace_poc_grad_log,permutation,0.0004807283400195206
curl_stress_curl,shap,0.015043570342609398
fsle_fsle_max,shap,0.009385014928470551
glorys_mlotst_surface,shap,0.006432726214833708
glorys_thetao_surface,shap,0.004782594756044481
glorys_vo_surface,shap,0.02116969834791549
glorys_thetao_surface_grad,shap,0.01893810453336364
BOTSALIN,shap,0.09415564871075847
BOTTEMP,shap,0.053579846894075904
SURFTEMP,shap,0.007711108018841311
SURFSALIN,shap,0.017015484195343166
pace_carbon_phyto_log,shap,0.01280167682966784
pace_carbon_phyto_grad_log,shap,0.027274784449993112
pace_chlor_a_log,shap,0.005457173223387542
pace_chlor_a_grad_log,shap,0.00577251695335427
pace_poc_log,shap,0.008684158110333422
pace_Kd_490,shap,0.004431801241290242
pace_poc_grad_log,shap,0.003553435431033248
