feature,type,importance
curl_stress_curl,gain,1.2696538388382482e-05
fsle_fsle_max,gain,0.6713025919841912
glorys_mlotst_surface,gain,0.02045685579600166
glorys_thetao_surface,gain,0.04925042784833771
glorys_vo_surface,gain,0.180566772606651
glorys_thetao_surface_grad,gain,0.3852003457002605
BOTSALIN,gain,0.0465438945841987
BOTTEMP,gain,0.061871807705205666
SURFTEMP,gain,0.0724367839506345
SURFSALIN,gain,0.036044588298892025
pace_carbon_phyto_log,gain,0.15152332079719064
pace_carbon_phyto_grad_log,gain,0.12296145291076158
pace_chlor_a_log,gain,0.20467479415051215
pace_chlor_a_grad_log,gain,0.08697802583128882
pace_poc_log,gain,0.154324950431022
pace_Kd_490,gain,0.06548824680633698
pace_poc_grad_log,gain,0.029741603038785144
curl_stress_curl,permutation,-6.379829997626985e-12
fsle_fsle_max,permutation,-0.005054750001189223
glorys_mlotst_surface,permutation,5.050597246154531e-05
glorys_thetao_surface,permutation,0.02508150792176709
glorys_vo_surface,permutation,-0.0006962606177914665
glorys_thetao_surface_grad,permutation,0.0012403911035557603
BOTSALIN,permutation,0.006867140280859507
BOTTEMP,permutation,-0.00428780053172415
SURFTEMP,permutation,0.015784454957912964
SURFSALIN,permutation,-0.0068829053115974535
pace_carbon_phyto_log,permutation,0.009591849596946922
pace_carbon_phyto_grad_log,permutation,0.011236634149332337
pace_chlor_a_log,permutation,-0.007327247616243993
pace_chlor_a_grad_log,permutation,-0.0004214608125011621
pace_poc_log,permutation,-0.005446173891564677
pace_Kd_490,permutation,0.0008531141747518233
pace_poc_grad_log,permutation,0.0021300264478592234
curl_stress_curl,shap,0.0
fsle_fsle_max,shap,0.01829863327554858
glorys_mlotst_surface,shap,0.03899007877732489
glorys_thetao_surface,shap,0.041279981041523375
glorys_vo_surface,shap,0.021687313776207473
glorys_thetao_surface_grad,shap,0.0028307474829046167
BOTSALIN,shap,0.06348323359886188
BOTTEMP,shap,0.11571414299674097
SURFTEMP,shap,0.050453249904749836
SURFSALIN,shap,0.011043039405436324
pace_carbon_phyto_log,shap,0.021662795411489067
pace_carbon_phyto_grad_log,shap,0.052580135330917384
pace_chlor_a_log,shap,0.03686898940678987
pace_chlor_a_grad_log,shap,0.041814151591176935
pace_poc_log,shap,0.015193049996309943
pace_Kd_490,shap,0.0
pace_poc_grad_log,shap,0.005678358320515776
