feature,type,importance
curl_stress_curl,gain,0.03710395308339881
fsle_fsle_max,gain,0.08904356120272165
glorys_mlotst_surface,gain,0.04728630379800129
glorys_thetao_surface,gain,0.06064602581900476
glorys_vo_surface,gain,0.07039546450876967
glorys_thetao_surface_grad,gain,0.0812300459028904
BOTSALIN,gain,0.14764495386781432
BOTTEMP,gain,0.0604576972132327
SURFTEMP,gain,0.055245201732870085
SURFSALIN,gain,0.061075434652637345
pace_carbon_phyto_log,gain,0.04377882445199958
pace_carbon_phyto_grad_log,gain,0.044187945930002206
pace_chlor_a_log,gain,0.021935252639613503
pace_chlor_a_grad_log,gain,0.05289805021008715
pace_poc_log,gain,0.026326152612314475
pace_Kd_490,gain,0.029863248825375274
pace_poc_grad_log,gain,0.07088188354926682
curl_stress_curl,permutation,-0.01300369256572842
fsle_fsle_max,permutation,-0.009658766678267528
glorys_mlotst_surface,permutation,-0.004179567937153484
glorys_thetao_surface,permutation,-0.0015463567599373063
glorys_vo_surface,permutation,-0.018574171451219357
glorys_thetao_surface_grad,permutation,-0.01955404894592545
BOTSALIN,permutation,0.022004550554865766
BOTTEMP,permutation,-0.0039972688263287814
SURFTEMP,permutation,0.0007933942336428412
SURFSALIN,permutation,-0.017995382829117147
pace_carbon_phyto_log,permutation,-0.005685578782270273
pace_carbon_phyto_grad_log,permutation,-0.0017102304018851377
pace_chlor_a_log,permutation,-0.003990761700514689
pace_chlor_a_grad_log,permutation,0.0094407197836883
pace_poc_log,permutation,-0.005139984001925235
pace_Kd_490,permutation,-0.0004784956393091955
pace_poc_grad_log,permutation,-0.01161687236090021
curl_stress_curl,shap,0.017670180641157666
fsle_fsle_max,shap,0.026563619431816808
glorys_mlotst_surface,shap,0.019831402565823556
glorys_thetao_surface,shap,0.0289220874545364
glorys_vo_surface,shap,0.025229486014779694
glorys_thetao_surface_grad,shap,0.029000760518677948
BOTSALIN,shap,0.12479399374245533
BOTTEMP,shap,0.019628543218324267
SURFTEMP,shap,0.018594330671777015
SURFSALIN,shap,0.022791122419713455
pace_carbon_phyto_log,shap,0.02306481768688275
pace_carbon_phyto_grad_log,shap,0.02043911529025929
pace_chlor_a_log,shap,0.018455690850537575
pace_chlor_a_grad_log,shap,0.014531247950440451
pace_poc_log,shap,0.010084514614899613
pace_Kd_490,shap,0.0123083579193597
pace_poc_grad_log,shap,0.030498472643394354
