feature,type,importance
curl_stress_curl,permutation,-0.00143871239932174
fsle_fsle_max,permutation,0.0023555479663585955
glorys_mlotst_surface,permutation,-0.001158875797111858
glorys_thetao_surface,permutation,0.0026485675638748376
glorys_vo_surface,permutation,0.003045602346124221
glorys_thetao_surface_grad,permutation,-0.0006018115998468021
BOTSALIN,permutation,0.005500176618199915
BOTTEMP,permutation,0.01466104003815033
SURFTEMP,permutation,0.002990685644888957
SURFSALIN,permutation,-0.0012252565965655605
pace_carbon_phyto_log,permutation,0.0014043119108916868
pace_carbon_phyto_grad_log,permutation,0.0010512134003738626
pace_chlor_a_log,permutation,0.00012861856485514301
pace_chlor_a_grad_log,permutation,-5.3354410999528754e-05
pace_poc_log,permutation,0.0
pace_Kd_490,permutation,-0.00016044602131723985
pace_poc_grad_log,permutation,0.0003006625287006348
curl_stress_curl,shap,0.010736394016971126
fsle_fsle_max,shap,0.014262805349078181
glorys_mlotst_surface,shap,0.010680280338779628
glorys_thetao_surface,shap,0.009156738527858619
glorys_vo_surface,shap,0.02189932914316644
glorys_thetao_surface_grad,shap,0.012069288753623853
BOTSALIN,shap,0.02193976853488722
BOTTEMP,shap,0.040642351274700325
SURFTEMP,shap,0.008333612856364305
SURFSALIN,shap,0.007021664389946596
pace_carbon_phyto_log,shap,0.0069051642502760595
pace_carbon_phyto_grad_log,shap,0.005507480093152512
pace_chlor_a_log,shap,0.005898150902221623
pace_chlor_a_grad_log,shap,0.0013552215083773563
pace_poc_log,shap,0.0
pace_Kd_490,shap,0.0017070680653078131
pace_poc_grad_log,shap,0.001174401549635947
