feature,type,importance
curl_stress_curl,permutation,0.01976514060586827
fsle_fsle_max,permutation,0.019765140605868224
glorys_mlotst_surface,permutation,-0.010405366835297958
glorys_thetao_surface,permutation,0.009834333156926011
glorys_vo_surface,permutation,0.019765140605868182
glorys_thetao_surface_grad,permutation,0.019765140605868224
BOTSALIN,permutation,0.008259148482385204
BOTTEMP,permutation,-0.043066203351384266
SURFTEMP,permutation,0.05428513018596659
SURFSALIN,permutation,0.023673926132702406
pace_carbon_phyto_log,permutation,0.019765140605868182
pace_carbon_phyto_grad_log,permutation,0.02826010541177315
pace_chlor_a_log,permutation,0.019715904863923696
pace_chlor_a_grad_log,permutation,-0.020822881446139287
pace_poc_log,permutation,0.01976514060586825
pace_Kd_490,permutation,0.019765140605868294
pace_poc_grad_log,permutation,0.006471961081165101
curl_stress_curl,shap,0.004216099394187467
fsle_fsle_max,shap,0.003699844436400696
glorys_mlotst_surface,shap,0.07502553687345598
glorys_thetao_surface,shap,0.052303159444414694
glorys_vo_surface,shap,0.0038333005938163893
glorys_thetao_surface_grad,shap,0.004201148826332825
BOTSALIN,shap,0.05568312259560645
BOTTEMP,shap,0.09109583687215277
SURFTEMP,shap,0.055792136748951754
SURFSALIN,shap,0.026327338911671244
pace_carbon_phyto_log,shap,0.005223081758793845
pace_carbon_phyto_grad_log,shap,0.010719345046900256
pace_chlor_a_log,shap,0.004726160671360194
pace_chlor_a_grad_log,shap,0.020971821191373325
pace_poc_log,shap,0.003684666154157281
pace_Kd_490,shap,0.0046016140405717235
pace_poc_grad_log,shap,0.014118572821000222
