feature,type,importance
curl_stress_curl,gain,0.029644621392716015
fsle_fsle_max,gain,0.057109395924230213
glorys_mlotst_surface,gain,0.04582267871968643
glorys_thetao_surface,gain,0.04251818052068704
glorys_vo_surface,gain,0.07163890538091962
glorys_thetao_surface_grad,gain,0.08849459492744444
BOTSALIN,gain,0.26381407485636116
BOTTEMP,gain,0.058237174132309846
SURFTEMP,gain,0.04556592166911037
SURFSALIN,gain,0.04300211057225072
pace_carbon_phyto_log,gain,0.054527474118554235
pace_carbon_phyto_grad_log,gain,0.050548336497843814
pace_chlor_a_log,gain,0.021369822420618117
pace_chlor_a_grad_log,gain,0.03871720420604079
pace_poc_log,gain,0.015506824578414017
pace_Kd_490,gain,0.027426953349234433
pace_poc_grad_log,gain,0.04605572673357884
curl_stress_curl,permutation,-0.008681276418844886
fsle_fsle_max,permutation,-0.012629786058105141
glorys_mlotst_surface,permutation,-0.007991404268182522
glorys_thetao_surface,permutation,-0.010798184339790162
glorys_vo_surface,permutation,-0.017349417041987957
glorys_thetao_surface_grad,permutation,-0.019171740949468264
BOTSALIN,permutation,0.020053401922043725
BOTTEMP,permutation,-0.011730797121523496
SURFTEMP,permutation,-0.006740567257837071
SURFSALIN,permutation,-0.009063878498967193
pace_carbon_phyto_log,permutation,-0.012182479348499697
pace_carbon_phyto_grad_log,permutation,-0.01033915616238359
pace_chlor_a_log,permutation,-0.005146694101839544
pace_chlor_a_grad_log,permutation,-0.010043523112274322
pace_poc_log,permutation,-0.004177410354991018
pace_Kd_490,permutation,-0.009735762665154723
pace_poc_grad_log,permutation,-0.012295349864166782
curl_stress_curl,shap,0.007277071638257757
fsle_fsle_max,shap,0.01428002050250752
glorys_mlotst_surface,shap,0.010970122377901625
glorys_thetao_surface,shap,0.008805256945574583
glorys_vo_surface,shap,0.01993422745302132
glorys_thetao_surface_grad,shap,0.02966450376724706
BOTSALIN,shap,0.12403023945332779
BOTTEMP,shap,0.014668298317881382
SURFTEMP,shap,0.008160007320948204
SURFSALIN,shap,0.007835976386181935
pace_carbon_phyto_log,shap,0.01678823791745308
pace_carbon_phyto_grad_log,shap,0.012240747939442442
pace_chlor_a_log,shap,0.004339475811333258
pace_chlor_a_grad_log,shap,0.00972924973216563
pace_poc_log,shap,0.0036303966607111955
pace_Kd_490,shap,0.006114526460560699
pace_poc_grad_log,shap,0.011129408126004383
