feature,type,importance
curl_stress_curl,gain,6.602278138358753e-07
fsle_fsle_max,gain,0.14340300307994486
glorys_mlotst_surface,gain,0.007577789341621198
glorys_thetao_surface,gain,0.06103467395607641
glorys_vo_surface,gain,0.11734505106141843
glorys_thetao_surface_grad,gain,0.44569835148204767
BOTSALIN,gain,0.042302216234325264
BOTTEMP,gain,0.0223128667173855
SURFTEMP,gain,0.07881350404108667
SURFSALIN,gain,0.03990374667301593
pace_carbon_phyto_log,gain,0.31594380540373507
pace_carbon_phyto_grad_log,gain,0.019619993659596848
pace_chlor_a_log,gain,0.18964528955611898
pace_chlor_a_grad_log,gain,0.22764289896154224
pace_poc_log,gain,0.17197548719229158
pace_Kd_490,gain,0.133400102360485
pace_poc_grad_log,gain,0.14499188156871703
curl_stress_curl,permutation,-4.821698595947055e-14
fsle_fsle_max,permutation,0.002181977388167955
glorys_mlotst_surface,permutation,0.001875900052235413
glorys_thetao_surface,permutation,0.016070326139179535
glorys_vo_surface,permutation,0.002323727669459563
glorys_thetao_surface_grad,permutation,0.001333737233371457
BOTSALIN,permutation,0.019250220494397795
BOTTEMP,permutation,0.014471940768455437
SURFTEMP,permutation,0.0175152006530775
SURFSALIN,permutation,0.003712620560125124
pace_carbon_phyto_log,permutation,0.0063926361326668065
pace_carbon_phyto_grad_log,permutation,1.104722026834537e-05
pace_chlor_a_log,permutation,0.003869563522147723
pace_chlor_a_grad_log,permutation,0.038860066392578475
pace_poc_log,permutation,0.0011932580916946378
pace_Kd_490,permutation,6.872970926631305e-05
pace_poc_grad_log,permutation,0.01932128637314977
curl_stress_curl,shap,0.0
fsle_fsle_max,shap,0.0006246346600882703
glorys_mlotst_surface,shap,0.01032731853749903
glorys_thetao_surface,shap,0.0548548276104108
glorys_vo_surface,shap,0.008224889481452351
glorys_thetao_surface_grad,shap,0.014976472001722281
BOTSALIN,shap,0.053157115071051635
BOTTEMP,shap,0.03709079169586099
SURFTEMP,shap,0.07331582111223638
SURFSALIN,shap,0.015028281678380285
pace_carbon_phyto_log,shap,0.040659238003295434
pace_carbon_phyto_grad_log,shap,0.0008979616948674125
pace_chlor_a_log,shap,0.03134220506684705
pace_chlor_a_grad_log,shap,0.09896364070889041
pace_poc_log,shap,0.016508804018708394
pace_Kd_490,shap,0.00018775702762706306
pace_poc_grad_log,shap,0.054837026697666325
