feature,type,importance
curl_stress_curl,gain,0.05577964775840471
fsle_fsle_max,gain,0.055875983543722176
glorys_mlotst_surface,gain,0.06727434319718686
glorys_thetao_surface,gain,0.022858016829394794
glorys_vo_surface,gain,0.034213804534641894
glorys_thetao_surface_grad,gain,0.04580521123860966
BOTSALIN,gain,0.2520629799847359
BOTTEMP,gain,0.042143170222206365
SURFTEMP,gain,0.030029782255518226
SURFSALIN,gain,0.0909270405137618
pace_carbon_phyto_log,gain,0.07878132981770855
pace_carbon_phyto_grad_log,gain,0.03864249333986477
pace_chlor_a_log,gain,0.0324588150054947
pace_chlor_a_grad_log,gain,0.046265800795575227
pace_poc_log,gain,0.02844522944825753
pace_Kd_490,gain,0.0275044228892413
pace_poc_grad_log,gain,0.05093192862567552
curl_stress_curl,permutation,-0.00036122065035251174
fsle_fsle_max,permutation,-0.0014454784786457453
glorys_mlotst_surface,permutation,-8.326413474910588e-05
glorys_thetao_surface,permutation,0.001095100826660611
glorys_vo_surface,permutation,-0.0012531174397766077
glorys_thetao_surface_grad,permutation,0.002804348473910134
BOTSALIN,permutation,0.0735494560831561
BOTTEMP,permutation,-0.0001937095204365802
SURFTEMP,permutation,-0.0009158958374767435
SURFSALIN,permutation,0.009100406294889719
pace_carbon_phyto_log,permutation,0.0013207247878999073
pace_carbon_phyto_grad_log,permutation,-0.001467751942900175
pace_chlor_a_log,permutation,0.0009669427709893763
pace_chlor_a_grad_log,permutation,0.0009442635184271797
pace_poc_log,permutation,6.502182546392898e-05
pace_Kd_490,permutation,0.00043240765387709824
pace_poc_grad_log,permutation,0.0008432904629549265
curl_stress_curl,shap,0.003758296822702643
fsle_fsle_max,shap,0.01204792554579531
glorys_mlotst_surface,shap,0.009311042712269738
glorys_thetao_surface,shap,0.002935950966826154
glorys_vo_surface,shap,0.0044805947133108315
glorys_thetao_surface_grad,shap,0.01974694479715845
BOTSALIN,shap,0.1284979685035096
BOTTEMP,shap,0.01067700996681339
SURFTEMP,shap,0.00924924998645219
SURFSALIN,shap,0.041601329980065556
pace_carbon_phyto_log,shap,0.014847474970886856
pace_carbon_phyto_grad_log,shap,0.002896950843327064
pace_chlor_a_log,shap,0.0058481730963953725
pace_chlor_a_grad_log,shap,0.005319830435508289
pace_poc_log,shap,0.002749888378885477
pace_Kd_490,shap,0.0049076061785100255
pace_poc_grad_log,shap,0.005735932674434217
