feature,type,importance
curl_stress_curl,gain,0.022421206281566994
fsle_fsle_max,gain,0.06731968918661425
glorys_mlotst_surface,gain,0.07930547908331122
glorys_thetao_surface,gain,0.039505694187872066
glorys_vo_surface,gain,0.06233264241291713
glorys_thetao_surface_grad,gain,0.08351451699650649
BOTSALIN,gain,0.1697430808603751
BOTTEMP,gain,0.06460958462003935
SURFTEMP,gain,0.05716882904896082
SURFSALIN,gain,0.06985031450773288
pace_carbon_phyto_log,gain,0.053161140874143545
pace_carbon_phyto_grad_log,gain,0.059092493561834075
pace_chlor_a_log,gain,0.031285562658541516
pace_chlor_a_grad_log,gain,0.03654228219195211
pace_poc_log,gain,0.02530713744634558
pace_Kd_490,gain,0.028166204927919013
pace_poc_grad_log,gain,0.050674141153367915
curl_stress_curl,permutation,-0.0008103373690721671
fsle_fsle_max,permutation,-0.011265020636853806
glorys_mlotst_surface,permutation,0.00028053378434982345
glorys_thetao_surface,permutation,0.012919869477831924
glorys_vo_surface,permutation,-0.00618759392402708
glorys_thetao_surface_grad,permutation,-0.0045159253995628035
BOTSALIN,permutation,0.09480924758327314
BOTTEMP,permutation,-0.0016341880524223696
SURFTEMP,permutation,-0.0004892393263973505
SURFSALIN,permutation,-0.007440543399178346
pace_carbon_phyto_log,permutation,0.004131184700686808
pace_carbon_phyto_grad_log,permutation,-0.00968860780896803
pace_chlor_a_log,permutation,-0.0001545142465299465
pace_chlor_a_grad_log,permutation,0.0022109944586404585
pace_poc_log,permutation,-0.0035199199724558873
pace_Kd_490,permutation,0.0003003308044752684
pace_poc_grad_log,permutation,0.00021529921229970216
curl_stress_curl,shap,0.011643724335264491
fsle_fsle_max,shap,0.024188530883385455
glorys_mlotst_surface,shap,0.018964126994198003
glorys_thetao_surface,shap,0.028188111003389173
glorys_vo_surface,shap,0.009609425981791675
glorys_thetao_surface_grad,shap,0.01405930694644885
BOTSALIN,shap,0.17366137805423187
BOTTEMP,shap,0.021537884660821502
SURFTEMP,shap,0.014723242242339644
SURFSALIN,shap,0.009640794558055478
pace_carbon_phyto_log,shap,0.01160891011266376
pace_carbon_phyto_grad_log,shap,0.014797719657634819
pace_chlor_a_log,shap,0.009237292858521583
pace_chlor_a_grad_log,shap,0.007343082118093616
pace_poc_log,shap,0.01382072732296727
pace_Kd_490,shap,0.009199696254172897
pace_poc_grad_log,shap,0.010141740269036916
