feature,type,importance
curl_stress_curl,permutation,-0.00013308235920734824
fsle_fsle_max,permutation,0.0008149094113623744
glorys_mlotst_surface,permutation,-0.0036308174108865333
glorys_thetao_surface,permutation,0.004620698124635547
glorys_vo_surface,permutation,0.0017313783642184167
glorys_thetao_surface_grad,permutation,-0.000728940357695218
BOTSALIN,permutation,0.0032793108096330625
BOTTEMP,permutation,0.003897704742621344
SURFTEMP,permutation,-0.0006074686340881152
SURFSALIN,permutation,-0.00036156712550845517
pace_carbon_phyto_log,permutation,-0.002182582220639162
pace_carbon_phyto_grad_log,permutation,-0.0008124706020391726
pace_chlor_a_log,permutation,0.0006970026331175383
pace_chlor_a_grad_log,permutation,-0.0013849957710104555
pace_poc_log,permutation,0.0
pace_Kd_490,permutation,0.0
pace_poc_grad_log,permutation,0.0004719960914838062
curl_stress_curl,shap,0.015315943677986157
fsle_fsle_max,shap,0.009495447122726796
glorys_mlotst_surface,shap,0.010141892631393475
glorys_thetao_surface,shap,0.041414332275770446
glorys_vo_surface,shap,0.02324903826679446
glorys_thetao_surface_grad,shap,0.006824505045656972
BOTSALIN,shap,0.01030644858875302
BOTTEMP,shap,0.03028702307201616
SURFTEMP,shap,0.006585288641232808
SURFSALIN,shap,0.015910610805620805
pace_carbon_phyto_log,shap,0.006095115770711947
pace_carbon_phyto_grad_log,shap,0.009147801853947687
pace_chlor_a_log,shap,0.0008295798600266468
pace_chlor_a_grad_log,shap,0.004495951564466074
pace_poc_log,shap,0.0001329761167903733
pace_Kd_490,shap,0.0004759044961110406
pace_poc_grad_log,shap,0.0025816680637058415
