feature,type,importance
curl_stress_curl,permutation,0.0
fsle_fsle_max,permutation,2.2204460492503132e-17
glorys_mlotst_surface,permutation,-0.0005305721746607928
glorys_thetao_surface,permutation,0.014742949074947442
glorys_vo_surface,permutation,4.4408920985006264e-17
glorys_thetao_surface_grad,permutation,0.0
BOTSALIN,permutation,0.03772730500723194
BOTTEMP,permutation,0.055246410002276855
SURFTEMP,permutation,0.10407810994797188
SURFSALIN,permutation,0.014445222284673976
pace_carbon_phyto_log,permutation,6.661338147750939e-17
pace_carbon_phyto_grad_log,permutation,-0.022880984794457417
pace_chlor_a_log,permutation,4.4408920985006264e-17
pace_chlor_a_grad_log,permutation,4.4408920985006264e-17
pace_poc_log,permutation,2.2204460492503132e-17
pace_Kd_490,permutation,2.2204460492503132e-17
pace_poc_grad_log,permutation,-0.0004331662553825
curl_stress_curl,shap,0.0009651867200162368
fsle_fsle_max,shap,0.0007590700863368221
glorys_mlotst_surface,shap,0.035407406261815974
glorys_thetao_surface,shap,0.06941950691066455
glorys_vo_surface,shap,0.0010514514585188667
glorys_thetao_surface_grad,shap,0.0009500075226164366
BOTSALIN,shap,0.09765572738266441
BOTTEMP,shap,0.11239070334208161
SURFTEMP,shap,0.10874267259309357
SURFSALIN,shap,0.02353934801615738
pace_carbon_phyto_log,shap,0.001956816019800181
pace_carbon_phyto_grad_log,shap,0.011106783881068187
pace_chlor_a_log,shap,0.0014905992121504623
pace_chlor_a_grad_log,shap,0.009452430980605966
pace_poc_log,shap,0.0010953813516750464
pace_Kd_490,shap,0.0009016148866958867
pace_poc_grad_log,shap,0.0073807328431318795
