feature,type,importance
curl_stress_curl,gain,0.0
fsle_fsle_max,gain,0.0
glorys_mlotst_surface,gain,0.0
glorys_thetao_surface,gain,0.0
glorys_vo_surface,gain,0.0
glorys_thetao_surface_grad,gain,0.0
BOTSALIN,gain,0.0
BOTTEMP,gain,0.0
SURFTEMP,gain,0.0
SURFSALIN,gain,0.0
pace_carbon_phyto_log,gain,0.0
pace_carbon_phyto_grad_log,gain,0.0
pace_chlor_a_log,gain,0.0
pace_chlor_a_grad_log,gain,0.0
pace_poc_log,gain,0.0
pace_Kd_490,gain,0.0
pace_poc_grad_log,gain,0.0
curl_stress_curl,permutation,0.0
fsle_fsle_max,permutation,0.0
glorys_mlotst_surface,permutation,0.0
glorys_thetao_surface,permutation,0.0
glorys_vo_surface,permutation,0.0
glorys_thetao_surface_grad,permutation,0.0
BOTSALIN,permutation,0.0
BOTTEMP,permutation,0.0
SURFTEMP,permutation,0.0
SURFSALIN,permutation,0.0
pace_carbon_phyto_log,permutation,0.0
pace_carbon_phyto_grad_log,permutation,0.0
pace_chlor_a_log,permutation,0.0
pace_chlor_a_grad_log,permutation,0.0
pace_poc_log,permutation,0.0
pace_Kd_490,permutation,0.0
pace_poc_grad_log,permutation,0.0
curl_stress_curl,shap,0.0
fsle_fsle_max,shap,0.0
glorys_mlotst_surface,shap,0.0
glorys_thetao_surface,shap,0.0
glorys_vo_surface,shap,0.0
glorys_thetao_surface_grad,shap,0.0
BOTSALIN,shap,0.0
BOTTEMP,shap,0.0
SURFTEMP,shap,0.0
SURFSALIN,shap,0.0
pace_carbon_phyto_log,shap,0.0
pace_carbon_phyto_grad_log,shap,0.0
pace_chlor_a_log,shap,0.0
pace_chlor_a_grad_log,shap,0.0
pace_poc_log,shap,0.0
pace_Kd_490,shap,0.0
pace_poc_grad_log,shap,0.0
