feature,type,importance
curl_stress_curl,gain,0.03506666920381825
fsle_fsle_max,gain,0.07556828853630028
glorys_mlotst_surface,gain,0.08018509397699858
glorys_thetao_surface,gain,0.030912402269575506
glorys_vo_surface,gain,0.03977596590583725
glorys_thetao_surface_grad,gain,0.04764303373385152
BOTSALIN,gain,0.2919248826235863
BOTTEMP,gain,0.06646598743404657
SURFTEMP,gain,0.04499505054383232
SURFSALIN,gain,0.04371477604921185
pace_carbon_phyto_log,gain,0.03904347638750232
pace_carbon_phyto_grad_log,gain,0.04333421048064398
pace_chlor_a_log,gain,0.025161850473096443
pace_chlor_a_grad_log,gain,0.031008849759115033
pace_poc_log,gain,0.021761926860618865
pace_Kd_490,gain,0.03799373001616311
pace_poc_grad_log,gain,0.04544380574580168
curl_stress_curl,permutation,-0.00032136944707916726
fsle_fsle_max,permutation,-0.005762243848305482
glorys_mlotst_surface,permutation,-0.0008093111592249125
glorys_thetao_surface,permutation,0.006846151845108883
glorys_vo_surface,permutation,-0.00121457695453846
glorys_thetao_surface_grad,permutation,0.00022587505924733797
BOTSALIN,permutation,0.10048561097610857
BOTTEMP,permutation,0.0032165618152010687
SURFTEMP,permutation,-0.0036515682958236486
SURFSALIN,permutation,-0.0034091787582769097
pace_carbon_phyto_log,permutation,0.001288758892262032
pace_carbon_phyto_grad_log,permutation,0.003905777670550159
pace_chlor_a_log,permutation,-0.001294090296050676
pace_chlor_a_grad_log,permutation,-0.002795640018464951
pace_poc_log,permutation,-0.0013795644926279493
pace_Kd_490,permutation,-5.217916832500613e-05
pace_poc_grad_log,permutation,0.00031156534650014225
curl_stress_curl,shap,0.004117321851499211
fsle_fsle_max,shap,0.01694826268443863
glorys_mlotst_surface,shap,0.015961679882000177
glorys_thetao_surface,shap,0.0038401866589962974
glorys_vo_surface,shap,0.0022829801224855226
glorys_thetao_surface_grad,shap,0.003969159850776349
BOTSALIN,shap,0.1681833059347601
BOTTEMP,shap,0.014608340354534228
SURFTEMP,shap,0.006824356705032417
SURFSALIN,shap,0.00705045935650207
pace_carbon_phyto_log,shap,0.006819460703355728
pace_carbon_phyto_grad_log,shap,0.0061928067708309584
pace_chlor_a_log,shap,0.005839517678169603
pace_chlor_a_grad_log,shap,0.003539288853092042
pace_poc_log,shap,0.005304681198474121
pace_Kd_490,shap,0.01379788885916478
pace_poc_grad_log,shap,0.0035753341705428523
