feature,type,importance
curl_stress_curl,gain,7.451265085569986e-06
fsle_fsle_max,gain,0.2646679348380033
glorys_mlotst_surface,gain,0.007341122101395961
glorys_thetao_surface,gain,0.028815372353212916
glorys_vo_surface,gain,0.2981559453046497
glorys_thetao_surface_grad,gain,0.6164067835461124
BOTSALIN,gain,0.12553580154932162
BOTTEMP,gain,0.03438942394028395
SURFTEMP,gain,0.04180519779840379
SURFSALIN,gain,0.036330902261457104
pace_carbon_phyto_log,gain,0.26119016927009586
pace_carbon_phyto_grad_log,gain,0.12596022110055166
pace_chlor_a_log,gain,0.025011127085730948
pace_chlor_a_grad_log,gain,0.1922201766416994
pace_poc_log,gain,0.047578410836860034
pace_Kd_490,gain,0.058647763052625236
pace_poc_grad_log,gain,0.08884867738762182
curl_stress_curl,permutation,1.283728678913576e-12
fsle_fsle_max,permutation,0.0005120763294979236
glorys_mlotst_surface,permutation,0.0005355035395612883
glorys_thetao_surface,permutation,0.0068971676275730864
glorys_vo_surface,permutation,0.0007396002213499564
glorys_thetao_surface_grad,permutation,0.009723275385270846
BOTSALIN,permutation,0.14895508548410774
BOTTEMP,permutation,0.003482958655603863
SURFTEMP,permutation,0.003308715353634195
SURFSALIN,permutation,0.008704830897485505
pace_carbon_phyto_log,permutation,0.0032176471750503532
pace_carbon_phyto_grad_log,permutation,-0.002491951233111367
pace_chlor_a_log,permutation,5.559971896860194e-05
pace_chlor_a_grad_log,permutation,0.009974654116169535
pace_poc_log,permutation,8.355683957599336e-05
pace_Kd_490,permutation,2.0644428778560096e-05
pace_poc_grad_log,permutation,-0.0021862904783439773
curl_stress_curl,shap,0.0
fsle_fsle_max,shap,0.008880132367098153
glorys_mlotst_surface,shap,0.007588252414490419
glorys_thetao_surface,shap,0.04043869368764861
glorys_vo_surface,shap,0.013315264140670415
glorys_thetao_surface_grad,shap,0.03851867696309195
BOTSALIN,shap,0.1991890035337089
BOTTEMP,shap,0.07644586711860996
SURFTEMP,shap,0.06974692524409278
SURFSALIN,shap,0.03392548020566743
pace_carbon_phyto_log,shap,0.03569653598177146
pace_carbon_phyto_grad_log,shap,0.03507052153394122
pace_chlor_a_log,shap,0.0
pace_chlor_a_grad_log,shap,0.04492792595860631
pace_poc_log,shap,0.0
pace_Kd_490,shap,0.0
pace_poc_grad_log,shap,0.013761484674636995
