feature,type,importance
curl_stress_curl,gain,0.004276412728827385
fsle_fsle_max,gain,0.008098307014370483
glorys_mlotst_surface,gain,0.019023492437597607
glorys_thetao_surface,gain,0.9294867549675893
glorys_vo_surface,gain,0.015122736712950205
glorys_thetao_surface_grad,gain,0.023992296138665162
curl_stress_curl,permutation,-0.0017450235103280364
fsle_fsle_max,permutation,-0.03039527032288697
glorys_mlotst_surface,permutation,-0.018061821459780525
glorys_thetao_surface,permutation,2.1232514254777928
glorys_vo_surface,permutation,-0.0063205647276833535
glorys_thetao_surface_grad,permutation,-0.011811381614219407
curl_stress_curl,shap,0.03857852896068834
fsle_fsle_max,shap,0.14495118012071284
glorys_mlotst_surface,shap,0.16876837216164056
glorys_thetao_surface,shap,3.2874889757768755
glorys_vo_surface,shap,0.11626571241601794
glorys_thetao_surface_grad,shap,0.1886330419483726
