feature,type,importance
curl_stress_curl,gain,0.004317920272228944
fsle_fsle_max,gain,0.010582112630405935
glorys_mlotst_surface,gain,0.01921708139148862
glorys_thetao_surface,gain,0.9293084545889523
glorys_vo_surface,gain,0.015460106686254457
glorys_thetao_surface_grad,gain,0.02111432443066977
curl_stress_curl,permutation,-0.0014940342674018892
fsle_fsle_max,permutation,-0.02112178512487266
glorys_mlotst_surface,permutation,0.00519714177789834
glorys_thetao_surface,permutation,2.0200340064509494
glorys_vo_surface,permutation,0.001194079505817358
glorys_thetao_surface_grad,permutation,-0.0036334281809999756
curl_stress_curl,shap,0.03146983687359894
fsle_fsle_max,shap,0.1237046289493573
glorys_mlotst_surface,shap,0.17363503805707367
glorys_thetao_surface,shap,3.166432607852229
glorys_vo_surface,shap,0.12320570655395868
glorys_thetao_surface_grad,shap,0.20246984489363598
