feature,type,importance
curl_stress_curl,gain,5.9898012520989916e-05
fsle_fsle_max,gain,1.9381955406673035
glorys_mlotst_surface,gain,0.001472748693768976
glorys_thetao_surface,gain,0.9460909920229911
glorys_vo_surface,gain,2.66297011381235
glorys_thetao_surface_grad,gain,8.20055626891259
curl_stress_curl,permutation,1.2885914557614342e-12
fsle_fsle_max,permutation,0.008585399293980934
glorys_mlotst_surface,permutation,0.0005749078215145809
glorys_thetao_surface,permutation,2.4976318856855215
glorys_vo_surface,permutation,-0.0036298395130362924
glorys_thetao_surface_grad,permutation,0.07132035112374117
curl_stress_curl,shap,0.0
fsle_fsle_max,shap,0.14530234223095664
glorys_mlotst_surface,shap,0.007828488961504098
glorys_thetao_surface,shap,3.0575513684638795
glorys_vo_surface,shap,0.46027927482404785
glorys_thetao_surface_grad,shap,0.5440053394855079
