feature,type,importance
curl_stress_curl,gain,0.008976113987678107
fsle_fsle_max,gain,0.013569386300857866
glorys_mlotst_surface,gain,0.025599322139928982
glorys_thetao_surface,gain,0.8031683709716048
glorys_vo_surface,gain,0.09737843754171766
glorys_thetao_surface_grad,gain,0.05130836905821264
curl_stress_curl,permutation,0.007477691082705451
fsle_fsle_max,permutation,0.009069654793841874
glorys_mlotst_surface,permutation,0.01690869076364976
glorys_thetao_surface,permutation,1.8108119308472719
glorys_vo_surface,permutation,0.04477454555172909
glorys_thetao_surface_grad,permutation,0.0543809262358045
curl_stress_curl,shap,0.055641577421074034
fsle_fsle_max,shap,0.059808956795691134
glorys_mlotst_surface,shap,0.11200612346721728
glorys_thetao_surface,shap,1.8378229449276842
glorys_vo_surface,shap,0.16834271261384282
glorys_thetao_surface_grad,shap,0.17080202390996918
