feature,type,importance
curl_stress_curl,gain,0.004532006197330194
fsle_fsle_max,gain,0.008372083802800368
glorys_mlotst_surface,gain,0.019736311549806082
glorys_thetao_surface,gain,0.9359722386320822
glorys_vo_surface,gain,0.011061219686075848
glorys_thetao_surface_grad,gain,0.020326140131905274
curl_stress_curl,permutation,0.005005871506989046
fsle_fsle_max,permutation,0.010907950590506598
glorys_mlotst_surface,permutation,0.061180116333262334
glorys_thetao_surface,permutation,2.0740239236877964
glorys_vo_surface,permutation,0.01944927148927199
glorys_thetao_surface_grad,permutation,0.047009654316656914
curl_stress_curl,shap,0.04270346319435277
fsle_fsle_max,shap,0.07697293307429388
glorys_mlotst_surface,shap,0.17594050317817225
glorys_thetao_surface,shap,1.9584774769428384
glorys_vo_surface,shap,0.12066969933065443
glorys_thetao_surface_grad,shap,0.14715475851080112
