feature,type,importance
curl_stress_curl,gain,0.00430185259959023
fsle_fsle_max,gain,0.005891533163366356
glorys_mlotst_surface,gain,0.022826734371718446
glorys_thetao_surface,gain,0.9381561084138764
glorys_vo_surface,gain,0.010547038723681575
glorys_thetao_surface_grad,gain,0.018276732727767087
curl_stress_curl,permutation,-0.0015131655530901012
fsle_fsle_max,permutation,0.030840467095594994
glorys_mlotst_surface,permutation,0.1225337777947233
glorys_thetao_surface,permutation,2.839212371065268
glorys_vo_surface,permutation,0.016318407891199583
glorys_thetao_surface_grad,permutation,0.13890271603803472
curl_stress_curl,shap,0.024909575612789392
fsle_fsle_max,shap,0.06440022006312189
glorys_mlotst_surface,shap,0.20371630232625867
glorys_thetao_surface,shap,1.6249139014787701
glorys_vo_surface,shap,0.15456748762206068
glorys_thetao_surface_grad,shap,0.12087689635867688
