feature,type,importance
curl_stress_curl,gain,0.00416547336922482
fsle_fsle_max,gain,0.006129205512566983
glorys_mlotst_surface,gain,0.021356218496400518
glorys_thetao_surface,gain,0.9405345253230251
glorys_vo_surface,gain,0.011720276330029198
glorys_thetao_surface_grad,gain,0.01609430096875324
curl_stress_curl,permutation,0.007115758364354896
fsle_fsle_max,permutation,-0.003171202949291585
glorys_mlotst_surface,permutation,0.25084700707415836
glorys_thetao_surface,permutation,2.8634032554061513
glorys_vo_surface,permutation,0.08967334435642887
glorys_thetao_surface_grad,permutation,0.052128745239391115
curl_stress_curl,shap,0.04149993562208352
fsle_fsle_max,shap,0.06433737775729594
glorys_mlotst_surface,shap,0.21136375133200716
glorys_thetao_surface,shap,1.6449809268855415
glorys_vo_surface,shap,0.26082552540660386
glorys_thetao_surface_grad,shap,0.104178838795494
